"time","p_L","p_A","p_M","pi_t","avg_vulnerability","n_disasters","disaster_severity","n_migrations","scenario","replication"
93,0.06,0.74,0.2,0.0109869426305932,0,2,0,0,"High Risk, Low Adaptation",1
94,0.09,0.71,0.2,0.00757724126786081,0,2,0,0,"High Risk, Low Adaptation",1
95,0.11,0.69,0.2,0.0132228217523051,0,2,0,0,"High Risk, Low Adaptation",1
96,0.11,0.69,0.2,0.0191240367508889,0,2,0,0,"High Risk, Low Adaptation",1
97,0.11,0.69,0.2,0.0191240367508889,0,2,0,0,"High Risk, Low Adaptation",1
98,0.1,0.7,0.2,0.0191240367508889,0,2,0,0,"High Risk, Low Adaptation",1
99,0.1,0.7,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
100,0.1,0.7,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
101,0.12,0.68,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
102,0.12,0.68,0.2,0.0229773699100256,0,2,0,0,"High Risk, Low Adaptation",1
103,0.11,0.69,0.2,0.0229773699100256,0,2,0,0,"High Risk, Low Adaptation",1
104,0.1,0.7,0.2,0.0191240367508889,0,2,0,0,"High Risk, Low Adaptation",1
105,0.05,0.75,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
106,0.04,0.76,0.2,0.00628990213689248,0,2,0,0,"High Risk, Low Adaptation",1
107,0.07,0.73,0.2,0.00522012569355839,0,2,0,0,"High Risk, Low Adaptation",1
108,0.11,0.69,0.2,0.00912563738918052,0,2,0,0,"High Risk, Low Adaptation",1
109,0.08,0.72,0.2,0.0191240367508889,0,2,0,0,"High Risk, Low Adaptation",1
110,0.1,0.7,0.2,0.0109869426305932,0,2,0,0,"High Risk, Low Adaptation",1
111,0.11,0.69,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
112,0.1,0.7,0.2,0.0191240367508889,0,2,0,0,"High Risk, Low Adaptation",1
113,0.07,0.73,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
114,0.08,0.72,0.2,0.00912563738918052,0,2,0,0,"High Risk, Low Adaptation",1
115,0.1,0.7,0.2,0.0109869426305932,0,2,0,0,"High Risk, Low Adaptation",1
116,0.11,0.69,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
117,0.08,0.72,0.2,0.0191240367508889,0,2,0,0,"High Risk, Low Adaptation",1
118,0.08,0.72,0.2,0.0109869426305932,0,2,0,0,"High Risk, Low Adaptation",1
119,0.1,0.7,0.2,0.0109869426305932,0,2,0,0,"High Risk, Low Adaptation",1
